Train Loss,Test Loss
1.4451279640197754,1.4509433507919312
1.4560683965682983,1.4489734172821045
1.4499764442443848,1.4470683336257935
1.446829080581665,1.4453364610671997
1.455141305923462,1.4436352252960205
1.4443856477737427,1.4420063495635986
1.442756175994873,1.4404387474060059
1.437462329864502,1.4390716552734375
1.4424912929534912,1.437738060951233
1.4402669668197632,1.4364094734191895
1.431104302406311,1.4352216720581055
1.4305932521820068,1.4341881275177002
1.4368352890014648,1.4330695867538452
1.4310338497161865,1.4319888353347778
1.429517149925232,1.4309709072113037
1.4340834617614746,1.429960012435913
1.4291691780090332,1.4290047883987427
1.4307461977005005,1.4280250072479248
1.4326683282852173,1.4270588159561157
1.4300400018692017,1.42610502243042
1.4299348592758179,1.4251519441604614
1.4225648641586304,1.4242860078811646
1.4216943979263306,1.4234521389007568
1.4231034517288208,1.4226117134094238
1.42197585105896,1.4218029975891113
1.4189826250076294,1.4211026430130005
1.423531174659729,1.4203824996948242
1.4223946332931519,1.4196590185165405
1.4212136268615723,1.4188984632492065
1.4174540042877197,1.4181599617004395
1.4188088178634644,1.4174119234085083
1.4206130504608154,1.4166549444198608
1.4149423837661743,1.4159185886383057
1.4124836921691895,1.4152783155441284
1.4157124757766724,1.414676547050476
1.4184410572052002,1.4140353202819824
1.410006046295166,1.4134666919708252
1.4140641689300537,1.4129143953323364
1.4102096557617188,1.4124089479446411
1.4111229181289673,1.4118974208831787
1.4151626825332642,1.411348819732666
1.4070069789886475,1.410892128944397
1.410125970840454,1.4104441404342651
1.411612629890442,1.410002589225769
1.40940523147583,1.4095531702041626
1.4082742929458618,1.4091229438781738
1.413167119026184,1.4086875915527344
1.408187985420227,1.4082740545272827
1.4082649946212769,1.4078811407089233
1.41001296043396,1.4074711799621582
1.4051947593688965,1.4070812463760376
1.408707618713379,1.4067018032073975
1.4039461612701416,1.4063644409179688
1.4047268629074097,1.4060875177383423
1.411948561668396,1.4057201147079468
1.4104071855545044,1.405318021774292
1.4025464057922363,1.4049711227416992
1.4084607362747192,1.404575228691101
1.403356671333313,1.4042243957519531
1.4011812210083008,1.403894066810608
1.4033578634262085,1.4035940170288086
1.3990252017974854,1.403364896774292
1.403968334197998,1.4030990600585938
1.400122046470642,1.4028675556182861
1.4043875932693481,1.402654767036438
1.4018851518630981,1.402450442314148
1.4000941514968872,1.4023076295852661
1.4036146402359009,1.4021471738815308
1.4008760452270508,1.4020553827285767
1.4019181728363037,1.401968240737915
1.3997900485992432,1.4018679857254028
1.4044023752212524,1.4017417430877686
1.401944637298584,1.4015806913375854
1.401474118232727,1.4014416933059692
1.4032235145568848,1.4012717008590698
1.4008903503417969,1.4010567665100098
1.3993321657180786,1.4008651971817017
1.4008506536483765,1.4006986618041992
1.4038983583450317,1.4004769325256348
1.3997598886489868,1.4002724885940552
1.3980560302734375,1.4001141786575317
1.4005006551742554,1.3999392986297607
1.400771975517273,1.3997275829315186
1.3994803428649902,1.3995226621627808
1.400302767753601,1.3993221521377563
1.3998976945877075,1.3990931510925293
1.3981897830963135,1.398862600326538
1.3978921175003052,1.3986477851867676
1.399525761604309,1.3983874320983887
1.3974270820617676,1.3981455564498901
1.395458698272705,1.3979443311691284
1.3974287509918213,1.3977819681167603
1.3973695039749146,1.3976284265518188
1.3990155458450317,1.3974380493164062
1.3948580026626587,1.3973097801208496
1.3960038423538208,1.3971939086914062
1.397915005683899,1.3970452547073364
1.3966355323791504,1.3969038724899292
1.3958773612976074,1.3967721462249756
1.3989171981811523,1.39658784866333
1.3973644971847534,1.3963733911514282
1.3967307806015015,1.3961900472640991
1.3948498964309692,1.3960264921188354
1.396519422531128,1.3958784341812134
1.396106481552124,1.395706295967102
1.3959568738937378,1.3955459594726562
1.3939522504806519,1.3954051733016968
1.395707130432129,1.395261526107788
1.3955055475234985,1.3950845003128052
1.3942934274673462,1.3948912620544434
1.3945189714431763,1.3947057723999023
1.3951807022094727,1.3945139646530151
1.3940812349319458,1.3943594694137573
1.4069831371307373,1.3941785097122192
1.3939368724822998,1.3940229415893555
1.3935885429382324,1.3938795328140259
1.392382264137268,1.3937617540359497
1.3943145275115967,1.3936702013015747
1.3921793699264526,1.3936156034469604
1.3940138816833496,1.3935760259628296
1.3939601182937622,1.3935269117355347
1.3934285640716553,1.3934605121612549
1.3939231634140015,1.393415927886963
1.3932762145996094,1.3933504819869995
1.3922927379608154,1.3932571411132812
1.3939909934997559,1.3931454420089722
1.393090844154358,1.3930473327636719
1.3909567594528198,1.3929752111434937
1.3912912607192993,1.3929665088653564
